PRKG1	"PRKG1"	"id"	"BiologicalEntity|Entity|Gene|NamedThing"
FOXE3	"FOXE3"	"id"	"BiologicalEntity|Entity|Gene|NamedThing"
MAT2A	"MAT2A"	"id"	"BiologicalEntity|Entity|Gene|NamedThing"
HEY2	"HEY2"	"id"	"BiologicalEntity|Entity|Gene|NamedThing"
MFAP5	"MFAP5"	"id"	"BiologicalEntity|Entity|Gene|NamedThing"
MYLK	"MYLK"	"id"	"BiologicalEntity|Entity|Gene|NamedThing"
THSD4	"THSD4"	"id"	"BiologicalEntity|Entity|Gene|NamedThing"
ELN	"ELN"	"id"	"BiologicalEntity|Entity|Gene|NamedThing"
ADA2	"ADA2"	"id"	"BiologicalEntity|Entity|Gene|NamedThing"
TBK1	"TBK1"	"id"	"BiologicalEntity|Entity|Gene|NamedThing"
COQ4	"COQ4"	"id"	"BiologicalEntity|Entity|Gene|NamedThing"
COLGALT1	"COLGALT1"	"id"	"BiologicalEntity|Entity|Gene|NamedThing"
PIK3C2A	"PIK3C2A"	"id"	"BiologicalEntity|Entity|Gene|NamedThing"
TGM1	"TGM1"	"id"	"BiologicalEntity|Entity|Gene|NamedThing"
FLG	"FLG"	"id"	"BiologicalEntity|Entity|Gene|NamedThing"
STS	"STS"	"id"	"BiologicalEntity|Entity|Gene|NamedThing"
HLCS	"HLCS"	"id"	"BiologicalEntity|Entity|Gene|NamedThing"
RMRP	"RMRP"	"id"	"BiologicalEntity|Entity|Gene|NamedThing"
CHD7	"CHD7"	"id"	"BiologicalEntity|Entity|Gene|NamedThing"
LIG4	"LIG4"	"id"	"BiologicalEntity|Entity|Gene|NamedThing"
RAG1	"RAG1"	"id"	"BiologicalEntity|Entity|Gene|NamedThing"
RAG2	"RAG2"	"id"	"BiologicalEntity|Entity|Gene|NamedThing"
DCLRE1C	"DCLRE1C"	"id"	"BiologicalEntity|Entity|Gene|NamedThing"
ADA	"ADA"	"id"	"BiologicalEntity|Entity|Gene|NamedThing"
IL7R	"IL7R"	"id"	"BiologicalEntity|Entity|Gene|NamedThing"
IL2RG	"IL2RG"	"id"	"BiologicalEntity|Entity|Gene|NamedThing"
GBA1	"GBA1"	"id"	"BiologicalEntity|Entity|Gene|NamedThing"
SLC27A4	"SLC27A4"	"id"	"BiologicalEntity|Entity|Gene|NamedThing"
MRPS22	"MRPS22"	"id"	"BiologicalEntity|Entity|Gene|NamedThing"
ALG9	"ALG9"	"id"	"BiologicalEntity|Entity|Gene|NamedThing"
TWIST2	"TWIST2"	"id"	"BiologicalEntity|Entity|Gene|NamedThing"
PIDD1	"PIDD1"	"id"	"BiologicalEntity|Entity|Gene|NamedThing"
CHMP2B	"CHMP2B"	"id"	"BiologicalEntity|Entity|Gene|NamedThing"
TMEM106B	"TMEM106B"	"id"	"BiologicalEntity|Entity|Gene|NamedThing"
SQSTM1	"SQSTM1"	"id"	"BiologicalEntity|Entity|Gene|NamedThing"
TREM2	"TREM2"	"id"	"BiologicalEntity|Entity|Gene|NamedThing"
GM2A	"GM2A"	"id"	"BiologicalEntity|Entity|Gene|NamedThing"
TYROBP	"TYROBP"	"id"	"BiologicalEntity|Entity|Gene|NamedThing"
DCTN1	"DCTN1"	"id"	"BiologicalEntity|Entity|Gene|NamedThing"
PRKAR1B	"PRKAR1B"	"id"	"BiologicalEntity|Entity|Gene|NamedThing"
PDE2A	"PDE2A"	"id"	"BiologicalEntity|Entity|Gene|NamedThing"
UBE3A	"UBE3A"	"id"	"BiologicalEntity|Entity|Gene|NamedThing"
OCA2	"OCA2"	"id"	"BiologicalEntity|Entity|Gene|NamedThing"
ADSL	"ADSL"	"id"	"BiologicalEntity|Entity|Gene|NamedThing"
GATAD2B	"GATAD2B"	"id"	"BiologicalEntity|Entity|Gene|NamedThing"
KANSL1	"KANSL1"	"id"	"BiologicalEntity|Entity|Gene|NamedThing"
SLC6A17	"SLC6A17"	"id"	"BiologicalEntity|Entity|Gene|NamedThing"
SLC9A6	"SLC9A6"	"id"	"BiologicalEntity|Entity|Gene|NamedThing"
PIGS	"PIGS"	"id"	"BiologicalEntity|Entity|Gene|NamedThing"
DYRK1A	"DYRK1A"	"id"	"BiologicalEntity|Entity|Gene|NamedThing"
TBC1D2B	"TBC1D2B"	"id"	"BiologicalEntity|Entity|Gene|NamedThing"
NOVA2	"NOVA2"	"id"	"BiologicalEntity|Entity|Gene|NamedThing"
PGAP1	"PGAP1"	"id"	"BiologicalEntity|Entity|Gene|NamedThing"
ATP10A	"ATP10A"	"id"	"BiologicalEntity|Entity|Gene|NamedThing"
ATRX	"ATRX"	"id"	"BiologicalEntity|Entity|Gene|NamedThing"
GLI3	"GLI3"	"id"	"BiologicalEntity|Entity|Gene|NamedThing"
WDR4	"WDR4"	"id"	"BiologicalEntity|Entity|Gene|NamedThing"
TTI1	"TTI1"	"id"	"BiologicalEntity|Entity|Gene|NamedThing"
TELO2	"TELO2"	"id"	"BiologicalEntity|Entity|Gene|NamedThing"
NTNG2	"NTNG2"	"id"	"BiologicalEntity|Entity|Gene|NamedThing"
HSD17B10	"HSD17B10"	"id"	"BiologicalEntity|Entity|Gene|NamedThing"
CIT	"CIT"	"id"	"BiologicalEntity|Entity|Gene|NamedThing"
LNPK	"LNPK"	"id"	"BiologicalEntity|Entity|Gene|NamedThing"
LRAT	"LRAT"	"id"	"BiologicalEntity|Entity|Gene|NamedThing"
SPATA7	"SPATA7"	"id"	"BiologicalEntity|Entity|Gene|NamedThing"
RPE65	"RPE65"	"id"	"BiologicalEntity|Entity|Gene|NamedThing"
LCA5	"LCA5"	"id"	"BiologicalEntity|Entity|Gene|NamedThing"
PPIL1	"PPIL1"	"id"	"BiologicalEntity|Entity|Gene|NamedThing"
COG6	"COG6"	"id"	"BiologicalEntity|Entity|Gene|NamedThing"
CCNK	"CCNK"	"id"	"BiologicalEntity|Entity|Gene|NamedThing"
CDC40	"CDC40"	"id"	"BiologicalEntity|Entity|Gene|NamedThing"
CTNNA2	"CTNNA2"	"id"	"BiologicalEntity|Entity|Gene|NamedThing"
SNX14	"SNX14"	"id"	"BiologicalEntity|Entity|Gene|NamedThing"
CACNA1G	"CACNA1G"	"id"	"BiologicalEntity|Entity|Gene|NamedThing"
TMTC3	"TMTC3"	"id"	"BiologicalEntity|Entity|Gene|NamedThing"
ABCC8	"ABCC8"	"id"	"BiologicalEntity|Entity|Gene|NamedThing"
FOXP2	"FOXP2"	"id"	"BiologicalEntity|Entity|Gene|NamedThing"
APC2	"APC2"	"id"	"BiologicalEntity|Entity|Gene|NamedThing"
WLS	"WLS"	"id"	"BiologicalEntity|Entity|Gene|NamedThing"
AMPD2	"AMPD2"	"id"	"BiologicalEntity|Entity|Gene|NamedThing"
ITPR1	"ITPR1"	"id"	"BiologicalEntity|Entity|Gene|NamedThing"
RTL1	"RTL1"	"id"	"BiologicalEntity|Entity|Gene|NamedThing"
DLK1	"DLK1"	"id"	"BiologicalEntity|Entity|Gene|NamedThing"
MEG3	"MEG3"	"id"	"BiologicalEntity|Entity|Gene|NamedThing"
PUS3	"PUS3"	"id"	"BiologicalEntity|Entity|Gene|NamedThing"
ZMYND11	"ZMYND11"	"id"	"BiologicalEntity|Entity|Gene|NamedThing"
SLC6A8	"SLC6A8"	"id"	"BiologicalEntity|Entity|Gene|NamedThing"
ADNP	"ADNP"	"id"	"BiologicalEntity|Entity|Gene|NamedThing"
NEXMIF	"NEXMIF"	"id"	"BiologicalEntity|Entity|Gene|NamedThing"
LINGO1	"LINGO1"	"id"	"BiologicalEntity|Entity|Gene|NamedThing"
POGZ	"POGZ"	"id"	"BiologicalEntity|Entity|Gene|NamedThing"
CHD8	"CHD8"	"id"	"BiologicalEntity|Entity|Gene|NamedThing"
SPTBN1	"SPTBN1"	"id"	"BiologicalEntity|Entity|Gene|NamedThing"
CLTC	"CLTC"	"id"	"BiologicalEntity|Entity|Gene|NamedThing"
TTC19	"TTC19"	"id"	"BiologicalEntity|Entity|Gene|NamedThing"
FOXG1	"FOXG1"	"id"	"BiologicalEntity|Entity|Gene|NamedThing"
OPHN1	"OPHN1"	"id"	"BiologicalEntity|Entity|Gene|NamedThing"
MED12	"MED12"	"id"	"BiologicalEntity|Entity|Gene|NamedThing"
SHANK3	"SHANK3"	"id"	"BiologicalEntity|Entity|Gene|NamedThing"
CDKL5	"CDKL5"	"id"	"BiologicalEntity|Entity|Gene|NamedThing"
